has_webRequest,has_all_urls,has_cookies,has_clipboardRead,has_nativeMessaging,has_tabs,has_history,has_downloads,has_storage,has_background_script,has_content_scripts,host_permission_count,total_permission_count,content_script_entropy,has_webRequestBlocking,has_scripting,has_management,has_webNavigation,has_contextMenus,has_proxy,has_declarativeNetRequest,web_accessible_resources,eval_count,atob_count,function_ctor_count,xhr_fetch_count,websocket_count,exec_script_count,keydown_listener,cookie_in_code,long_string_count,hex_escape_count,external_url_count,label
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,3,2,5.01,NO,NO,NO,NO,NO,YES,NO,NO,0,0,0,3,0,0,NO,0,0,0,3,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,0,0,5.29,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,YES,0,0,0,0,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,1,4.8,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,2,NO,0,0,0,0,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,1,5.36,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,0,0,0,YES,0,0,0,0,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,0,4,4.94,NO,NO,YES,NO,NO,NO,NO,NO,0,0,0,1,0,0,NO,0,0,0,1,BENIGN
NO,YES,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,5,5.49,NO,NO,NO,NO,NO,NO,NO,YES,0,1,5,0,0,0,NO,2,0,0,5,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,0,5.08,NO,NO,NO,NO,NO,NO,NO,NO,0,0,1,0,0,1,YES,0,0,0,15,BENIGN
YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,5,5.38,YES,NO,YES,NO,NO,YES,NO,NO,0,0,0,0,0,0,YES,0,0,0,2,BENIGN
YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,8,5.35,YES,NO,YES,NO,YES,NO,NO,YES,0,0,0,9,0,0,YES,0,0,0,11,BENIGN
NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,0,7,5.03,NO,NO,NO,NO,YES,NO,NO,NO,1,0,0,1,0,3,YES,10,0,0,6,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,2,4.54,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,YES,0,0,0,0,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,0,3,5.44,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,2,0,0,YES,0,0,0,10,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,0,3,5.35,NO,NO,NO,NO,NO,NO,NO,NO,0,0,1,4,0,0,YES,0,0,0,4,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,2,3.65,NO,NO,NO,NO,YES,NO,NO,YES,0,1,0,4,0,0,YES,3,0,0,7,BENIGN
YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,6,5.18,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,NO,0,0,0,1,BENIGN
NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,0,5,5.4,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,1,0,0,YES,2,0,0,8,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,4,5.39,NO,NO,NO,NO,NO,NO,NO,NO,0,2,0,4,0,0,NO,3,0,0,6,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,0,1,5.1,NO,NO,NO,NO,NO,NO,NO,NO,0,1,0,0,0,0,NO,0,0,0,33,BENIGN
YES,NO,NO,NO,YES,YES,NO,NO,YES,YES,YES,0,76,5.41,YES,NO,NO,NO,YES,NO,NO,YES,13,0,2,0,0,0,YES,0,0,0,2,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,4,5.37,NO,NO,NO,NO,NO,NO,NO,YES,0,0,2,1,0,0,YES,0,0,0,15,BENIGN
YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,7,5.44,YES,NO,NO,YES,YES,NO,NO,YES,0,0,3,3,0,7,NO,0,0,0,16,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,0,3,5.2,NO,YES,NO,NO,NO,NO,NO,NO,0,0,3,0,0,1,YES,0,0,0,5,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,3,5.23,NO,NO,NO,NO,YES,NO,NO,NO,0,0,1,0,0,0,NO,0,0,0,4,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,0,1,4.99,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,YES,0,0,0,0,BENIGN
YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,0,5,5.34,YES,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,NO,0,0,0,7,BENIGN
NO,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,0,8,5.28,NO,NO,NO,NO,YES,NO,NO,NO,0,2,1,0,0,1,YES,0,0,0,11,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,3,5.35,NO,NO,NO,NO,NO,NO,NO,YES,0,0,2,2,0,0,YES,0,0,0,14,BENIGN
NO,NO,NO,NO,YES,YES,NO,NO,YES,YES,NO,0,3,4.79,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,NO,0,0,0,0,BENIGN
NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,0,3,5.51,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,3,0,3,YES,5,0,0,3,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,4,5.34,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,0,0,0,YES,2,0,0,2,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,0,5.31,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,YES,0,0,0,2,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,1,4.62,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,1,0,0,NO,0,0,0,0,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0,4.81,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,YES,0,0,0,0,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,0,1,4.95,NO,NO,NO,NO,NO,NO,NO,NO,0,0,1,0,0,0,YES,0,0,0,12,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,1,5.44,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,2,0,0,NO,0,0,0,7,BENIGN
YES,NO,NO,NO,YES,YES,NO,NO,YES,YES,YES,0,7,5.38,YES,NO,NO,NO,NO,NO,NO,YES,0,0,1,2,0,6,YES,0,0,0,3,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,0,10,5.37,NO,NO,NO,NO,YES,NO,NO,YES,0,0,0,3,0,0,NO,0,0,0,0,BENIGN
NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,0,7,5.2,NO,NO,NO,NO,NO,NO,NO,YES,0,0,1,0,0,0,NO,0,0,0,5,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,5,5.63,NO,NO,NO,NO,YES,NO,NO,NO,0,0,0,1,0,1,YES,0,1,0,7,BENIGN
NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,0,5,4.93,NO,NO,NO,YES,NO,NO,NO,NO,0,0,0,0,0,0,YES,0,0,0,0,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,0,3,5.41,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,1,YES,0,0,0,9,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,5,4.89,NO,NO,NO,YES,YES,NO,NO,NO,0,0,0,0,0,0,YES,0,0,0,17,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,0,0,5.4,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,YES,0,0,0,2,BENIGN
YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,8,5.32,YES,NO,YES,NO,NO,NO,NO,YES,0,0,4,4,0,1,NO,0,0,0,11,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,2,5.18,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,YES,0,0,0,1,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,2,5.53,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,0,0,1,YES,0,0,0,3,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,3,5.37,NO,NO,NO,NO,YES,NO,NO,YES,0,0,1,2,0,0,YES,0,0,0,7,BENIGN
YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,0,5,5.33,NO,NO,NO,NO,NO,NO,NO,NO,2,1,6,1,0,1,NO,5,0,0,6,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,0,1,5.28,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,NO,0,0,0,2,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,3,5.37,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,0,0,0,YES,0,0,0,2,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,0,0,5.31,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,0,0,0,YES,0,0,0,4,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,1,5.4,NO,NO,NO,NO,NO,NO,NO,NO,0,0,1,0,0,0,YES,0,0,0,2,BENIGN
YES,NO,YES,NO,NO,YES,YES,NO,YES,YES,YES,0,14,5.8,YES,NO,YES,YES,YES,NO,NO,YES,0,0,0,1,0,3,YES,5,17,0,21,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,2,5.3,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,3,1,0,NO,0,0,0,5,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,0,1,5.12,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,YES,0,0,0,0,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,93,5.18,NO,NO,NO,NO,NO,NO,NO,YES,0,1,0,1,0,2,YES,0,0,0,9,BENIGN
NO,YES,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,5,4.95,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,11,0,0,YES,2,0,0,8,BENIGN
NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,0,2,5.28,NO,NO,NO,NO,NO,NO,NO,YES,9,0,2,0,0,0,YES,0,0,0,2,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,3,4.88,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,2,0,1,YES,0,0,0,3,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,2,5.29,NO,YES,NO,NO,NO,NO,NO,YES,0,0,0,0,0,1,YES,0,0,0,1,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,0,1,4.36,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,1,0,0,YES,0,4,0,0,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,5,5.39,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,5,0,4,YES,0,0,0,8,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,2,5.07,NO,NO,NO,NO,NO,NO,NO,YES,0,0,0,0,0,0,NO,0,0,0,1,BENIGN
NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,4,3,5.46,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,NO,0,0,1,1,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,0,5.41,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,1,0,0,YES,0,0,0,2,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,4,5.16,NO,NO,NO,NO,NO,NO,NO,YES,0,1,0,0,0,6,YES,0,0,0,8,BENIGN
NO,YES,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,3,4.78,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,1,0,0,NO,0,0,0,3,BENIGN
NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,YES,0,188,5.46,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,2,0,0,NO,0,0,0,8,BENIGN
YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,0,6,5.41,YES,NO,NO,NO,YES,NO,NO,NO,0,0,1,1,0,1,YES,0,0,0,3,BENIGN
