L1,L2,L3,L4,L5,L6,label
0.9931,0.8635,0.0,0.0,0.0,1.0,1
0.8703,0.7649,0.0,0.0,0.0,1.0,1
0.4,0.1892,0.0,0.5,0.0,1.0,0
0.0302,0.1031,0.0,0.0,0.0,1.0,0
0.9979,0.9988,0.0,0.0,0.0,1.0,1
0.6432,0.6804,0.0,0.0,0.0,1.0,0
0.0268,0.8353,0.0,0.5,0.0,1.0,0
0.9994,0.5914,0.9062,0.85,0.0,1.0,1
0.55,0.0859,0.0,0.0,0.0,1.0,0
0.4176,0.1905,0.0,0.0,0.0,1.0,0
0.9967,0.9986,0.0,0.0,0.0,1.0,1
0.2296,0.088,0.0,0.0,0.0,1.0,0
0.764,0.982,0.9062,0.0,0.0,1.0,1
0.7038,0.4169,0.0,1.0,0.0,1.0,1
0.85,0.5157,0.0,0.0,0.0,1.0,0
0.6432,0.9983,0.0,0.0,0.0,1.0,1
0.8569,0.8822,0.0,0.0,0.0,1.0,1
0.0153,0.0983,0.0,0.5,0.0,1.0,0
0.6432,0.4378,0.9062,0.0,0.0,1.0,0
0.057,0.3976,0.0,0.0,0.0,1.0,0
0.9966,0.495,0.0,0.0,0.0,1.0,1
0.9999,1.0,0.0,0.0,0.0,1.0,1
0.163,0.0979,0.0,0.0,0.0,1.0,0
0.55,0.0819,0.0,0.0,0.0,1.0,0
0.9986,0.031,0.0,0.85,0.0,1.0,1
0.1707,0.4205,0.0,0.0,0.0,1.0,0
0.9233,0.9859,0.0,0.0,0.0,1.0,1
0.8891,0.9721,0.0,0.0,0.0,1.0,1
0.0303,0.0809,0.0,0.5,0.0,1.0,0
0.6432,0.3237,0.0,0.0,0.0,1.0,0
0.9963,0.9587,0.0,0.0,0.0,1.0,1
0.9994,0.2476,0.0,0.0,0.0,1.0,1
0.2,0.0893,0.0,0.0,0.0,1.0,0
0.9905,0.1692,0.0,0.85,0.0,1.0,1
0.55,0.0691,0.0,0.0,0.0,1.0,0
0.4464,0.1291,0.0,0.0,0.0,1.0,0
0.9999,0.0979,0.9062,0.0,0.0,1.0,1
0.9986,0.7134,0.0,0.85,0.0,1.0,1
0.2,0.4277,0.0,0.0,0.0,1.0,0
0.0111,0.1045,0.0,0.0,0.0,1.0,0
0.0298,0.0187,0.0,0.0,0.0,1.0,0
0.5,0.7939,0.0,0.0,0.0,1.0,0
0.0179,0.04,0.0,0.0,0.0,1.0,0
0.764,0.9952,0.9062,0.0,0.0,1.0,1
0.9997,0.9976,0.0,0.0,0.0,1.0,1
0.6332,0.1501,0.0,0.0,0.0,1.0,0
0.4,0.1015,0.0,0.0,0.0,1.0,0
0.3,0.0945,0.0,0.0,0.0,1.0,0
0.0325,0.4026,0.0,0.0,0.0,1.0,0
0.85,0.0712,0.0,0.0,0.0,1.0,0
0.8971,0.8123,0.0,0.0,0.0,1.0,1
0.0285,0.2185,0.0,0.0,0.0,1.0,0
0.7398,0.2044,0.0,0.0,0.0,1.0,1
0.4,0.2329,0.0,0.0,0.0,1.0,0
0.6432,0.1103,0.0,0.0,0.0,1.0,0
0.6432,0.0854,0.0,0.0,0.0,1.0,0
0.55,0.0819,0.0,0.0,0.0,1.0,0
0.2,0.1281,0.0,0.0,0.0,1.0,0
0.0035,0.1047,0.0,0.0,0.0,1.0,0
0.0008,0.4348,0.0,0.0,0.0,1.0,0
0.0675,0.1061,0.0,0.0,0.0,1.0,0
0.65,0.8381,0.0,0.0,0.0,1.0,1
0.9956,0.9768,0.0,0.85,0.0,1.0,1
0.2,0.2005,0.0,0.5,0.0,1.0,0
0.3,0.1856,0.0,0.0,0.0,1.0,0
0.65,0.1576,0.0,0.0,0.0,1.0,0
0.55,0.0887,0.0,0.0,0.0,1.0,0
0.55,0.0859,0.0,0.0,0.0,1.0,0
0.1166,0.0809,0.0,0.0,0.0,1.0,1
0.0012,0.1047,0.0,0.0,0.0,1.0,0
0.15,0.6638,0.0,0.0,0.0,1.0,0
0.0238,0.8248,0.0,0.0,0.0,1.0,0
0.944,0.9989,0.0,0.0,0.0,1.0,1
0.2,0.1646,0.0,0.0,0.0,1.0,0
0.0828,0.9967,0.0,0.0,0.0,1.0,1
0.9516,0.4205,0.0,0.0,0.0,1.0,1
0.9985,0.9996,0.0,0.0,0.0,1.0,1
0.0035,0.1321,0.0,0.0,0.0,1.0,0
0.0889,0.1501,0.0,0.0,0.0,1.0,0
0.4,0.4223,0.0,0.0,0.0,1.0,0
0.0552,0.4241,0.9062,0.0,0.0,1.0,0
0.55,0.0747,0.0,0.0,0.0,1.0,0
0.5799,0.2553,0.9062,0.0,0.0,1.0,1
0.9124,0.6143,0.0,0.0,0.0,1.0,1
0.6432,0.6534,0.9062,0.0,0.0,1.0,1
0.0148,0.241,0.0,0.0,0.0,1.0,0
0.1733,0.0345,0.0,0.0,0.0,1.0,0
0.008,0.0896,0.0,0.0,0.0,1.0,0
0.55,0.1154,0.0,0.0,0.0,1.0,0
0.0303,0.498,0.0,0.0,0.0,1.0,0
0.9996,0.9322,0.0,0.0,0.0,1.0,1
0.9596,0.1892,0.0,0.0,0.0,1.0,1
0.0481,0.651,0.0,0.0,0.0,1.0,0
0.5641,0.4712,0.9062,0.0,0.0,1.0,0
0.057,0.0351,0.0,0.0,0.0,1.0,0
0.4,0.403,0.0,0.5,0.0,1.0,0
0.0544,0.525,0.0,0.0,0.0,1.0,0
0.0102,0.1892,0.0,0.0,0.0,1.0,0
0.4976,0.3941,0.0,0.0,0.0,1.0,0
0.0018,0.1321,0.0,0.0,0.0,1.0,0
0.9703,0.9964,0.0,0.0,0.0,1.0,1
0.8648,0.9894,0.0,0.0,0.0,1.0,1
0.9178,0.9828,0.0,0.0,0.0,1.0,1
0.3116,0.5085,0.0,0.0,0.0,1.0,1
0.1165,0.3173,0.0,0.0,0.0,1.0,0
0.1267,0.1332,0.9062,0.0,0.0,1.0,0
0.0034,0.6716,0.0,0.0,0.0,1.0,0
0.9889,0.3062,0.0,0.0,0.0,1.0,1
0.9966,0.4231,0.0,0.85,0.0,1.0,1
0.6432,0.1911,0.0,0.0,0.0,1.0,0
0.9988,1.0,0.9062,0.0,0.0,1.0,1
0.0647,0.265,0.0,0.0,0.0,1.0,0
0.047,0.4223,0.0,0.0,0.0,1.0,0
0.7883,0.1065,0.0,0.0,0.0,1.0,0
0.9873,0.3987,0.0,0.0,0.0,1.0,1
0.2,0.0869,0.0,0.0,0.0,1.0,0
0.3,0.0696,0.0,0.0,0.0,1.0,0
0.8539,0.9718,0.9062,0.0,0.0,1.0,1
0.2,0.1944,0.0,0.0,0.0,1.0,0
0.3,0.5044,0.0,0.0,0.0,1.0,0
0.3,0.0802,0.0,0.0,0.0,1.0,0
0.9884,0.7666,0.0,0.0,0.0,1.0,0
0.9564,0.83,0.9062,0.0,0.0,0.0,1
0.9995,0.8677,0.0,0.0,0.0,0.0,1
0.924,0.9993,0.0,0.0,0.0,0.0,1
0.0032,0.0862,0.0,0.0,0.0,0.0,0
0.65,0.0618,0.0,0.0,0.0,0.0,0
0.4,0.2058,0.0,0.0,0.0,0.0,0
0.3,0.4026,0.0,0.0,0.0,0.0,0
0.9939,0.9671,0.0,0.85,0.0,0.0,1
0.767,0.9553,0.0,0.0,0.0,0.0,1
0.6432,0.8007,0.0,0.0,0.0,0.0,1
0.0087,0.4378,0.0,0.0,0.0,0.0,0
0.1011,0.256,0.0,0.0,0.0,0.0,0
0.2,0.4231,0.0,0.0,0.0,0.0,0
0.2,0.0819,0.0,0.0,0.0,0.0,0
0.0199,0.1178,0.0,0.5,0.0,0.0,0
0.9979,0.9886,0.0,0.0,0.0,0.2,1
0.764,0.4521,0.9062,0.0,0.0,0.2,0
0.1028,0.1103,0.9062,0.0,0.0,0.2,0
0.4289,0.0759,0.9062,0.0,0.0,0.2,0
0.399,0.9975,0.0,0.0,0.0,0.65,1
0.5205,0.0948,0.9062,0.0,0.0,0.65,0
0.9233,0.4765,0.9062,0.0,0.0,0.65,0
0.5641,0.2429,0.9062,0.0,0.0,0.65,1
0.6432,0.1045,0.9062,0.0,0.0,0.65,0
0.2699,0.1856,0.9062,0.0,0.0,0.65,0
0.3803,0.0696,0.9062,0.0,0.0,0.65,0
0.0679,0.1065,0.9062,0.0,0.0,0.65,0
0.6424,0.0385,0.9062,0.0,0.0,0.65,0
0.0008,0.0928,0.0,0.0,0.0,0.65,0
0.6432,0.9399,0.9062,0.0,0.0,0.65,1
0.3742,0.1045,0.9062,0.0,0.0,1.0,0
0.6432,0.289,0.0,0.0,0.0,1.0,0
0.5763,0.2959,0.0,0.0,0.0,1.0,0
0.1158,0.4161,0.9062,0.0,0.0,1.0,1
0.1976,0.1135,0.9062,0.0,0.0,1.0,0
0.0003,0.0963,0.0,0.0,0.0,1.0,0
0.6759,0.516,0.9062,0.0,0.0,1.0,0
0.9976,0.4777,0.0,0.0,0.0,1.0,1
0.0993,0.1012,0.9062,0.0,0.0,1.0,0
0.6424,0.8294,0.9062,0.0,0.0,1.0,1
0.9956,0.5044,0.0,0.0,0.0,1.0,1
0.0399,0.4169,0.9062,0.0,0.0,1.0,0
0.5641,0.1614,0.0,0.0,0.0,1.0,0
0.5641,0.1521,0.9062,0.0,0.0,1.0,0
0.6432,0.6501,0.9062,0.0,0.0,1.0,1
0.994,0.9899,0.0,0.0,0.0,1.0,1
0.7374,0.4676,0.9062,0.0,0.0,1.0,0
0.6424,0.8914,0.0,0.0,0.0,1.0,1
0.6608,0.9966,0.9062,0.0,0.0,1.0,1
0.6432,0.129,0.9062,0.0,0.0,1.0,0
0.6432,0.0859,0.9062,0.0,0.0,1.0,1
0.2614,0.213,0.9062,0.0,0.0,1.0,0
0.6432,0.0979,0.0,0.0,0.0,1.0,0
0.5641,0.0809,0.9062,0.0,0.0,1.0,0
0.057,0.1321,0.0,0.0,0.0,1.0,0
0.5775,0.2451,0.0,0.0,0.0,1.0,0
0.6432,0.1728,0.9062,0.0,0.0,1.0,1
0.9903,0.2523,0.9062,0.0,0.0,1.0,0
0.9464,0.1321,0.0,0.0,0.0,1.0,1
0.6432,0.4789,0.9062,0.0,0.0,1.0,0
0.6759,0.1646,0.9062,0.0,0.0,1.0,0
0.0576,0.0862,0.9062,0.0,0.0,1.0,0
0.5641,0.9877,0.0,0.0,0.0,1.0,1
0.6432,0.0234,0.9062,0.0,0.0,1.0,0
0.764,0.913,0.9062,0.0,0.0,1.0,1
0.6759,0.1059,0.9062,0.0,0.0,1.0,0
0.4584,0.8094,0.0,0.0,0.0,1.0,1
0.6608,0.9618,0.0,0.0,0.0,1.0,1
0.6432,0.9985,0.9062,0.0,0.0,1.0,1
0.9845,0.9862,0.0,0.0,0.0,1.0,1
0.5641,0.2449,0.9062,0.0,0.0,1.0,0
0.3287,0.265,0.9062,0.0,0.0,1.0,0
0.6432,0.1888,0.9062,0.0,0.0,1.0,0
0.6424,0.192,0.9062,0.0,0.0,1.0,0
0.764,0.9621,0.0,0.0,0.0,1.0,1
0.5205,0.6501,0.0,0.0,0.0,1.0,0
0.764,0.2275,0.9062,0.0,0.0,1.0,0
0.5641,0.1522,0.9062,0.0,0.0,1.0,0
0.403,0.1791,0.0,0.0,0.0,1.0,0
0.5641,0.0963,0.9062,0.0,0.0,1.0,0
0.6424,0.6943,0.9062,0.0,0.0,1.0,1
0.6759,0.2789,0.9062,0.0,0.0,1.0,0
0.057,0.1026,0.9062,0.0,0.0,1.0,0
0.3287,0.0893,0.9062,0.0,0.0,1.0,0
0.0201,0.1304,0.0,0.0,0.0,1.0,0
0.6432,0.6294,0.0,0.0,0.0,1.0,0
0.972,0.6656,0.0,0.0,0.0,1.0,1
0.193,0.177,0.9062,0.0,0.0,1.0,0
0.1756,0.177,0.9062,0.0,0.0,1.0,0
0.6432,0.8233,0.0,0.0,0.0,1.0,1
0.4,0.1026,0.0,0.0,0.0,1.0,0
0.7,0.1065,0.0,0.0,0.0,1.0,0
