n_iframes,has_fixed_iframe,max_zindex,full_viewport,drag_prevent,n_forms,n_inputs,n_pw_inputs,n_hidden_inputs,n_ext_scripts,form_ext_action,title_brand,favicon_brand,has_overlay,has_redirect,html_size_kb,label
0,0,10,1,0,2,14,0,5,2,0,0,0,0,1,735,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,1,4,0,1,1,1,0,0,1,0,292,0
0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,0
0,0,0,0,0,1,2,0,0,32,0,0,0,0,0,77,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,2,2,0,0,6,0,0,0,1,1,96,0
1,0,0,1,0,1,3,1,1,2,0,0,1,1,0,55,0
0,0,0,0,0,2,21,0,2,0,0,0,0,0,0,36,1
0,0,0,0,0,3,3,0,0,1,0,0,1,1,0,101,0
0,0,0,0,0,1,7,0,1,0,0,0,1,0,0,117,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
0,0,0,1,0,9,27,0,4,21,1,0,0,1,0,48,1
0,0,9999,1,0,1,3,1,0,1,1,0,0,0,0,2,1
0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,8,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,9999,0,0,1,3,0,1,0,0,0,0,0,1,80,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
0,0,9999,1,1,1,0,0,0,1,0,0,0,1,1,436,0
0,0,0,0,0,4,11,0,1,2,1,0,0,0,0,48,0
0,0,9999,0,0,2,5,0,1,3,0,0,0,1,0,183,0
1,1,9999,1,0,2,7,0,3,2,1,0,0,1,1,161,0
0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,36,0
0,0,0,0,0,1,10,0,2,0,0,0,0,0,0,5,1
0,0,0,0,0,1,3,1,0,3,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48,1
0,0,9999,1,0,2,2,0,1,10,1,0,0,0,1,70,0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,39,0
1,0,0,0,0,2,34,2,27,1,0,0,1,0,1,53,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,3,0,0,12,0,0,0,0,0,80,0
0,0,24,0,1,1,5,1,0,0,1,0,0,0,0,5,1
0,0,9999,1,1,13,34,0,14,1,0,0,0,1,0,347,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0
0,0,2,0,0,1,3,1,0,4,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,500,0,0,4,12,2,5,5,1,0,0,1,0,126,1
1,1,9999,1,1,0,1,0,0,6,0,0,0,1,0,742,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,9999,1,0,2,3,2,0,2,0,0,0,1,0,79,1
0,0,0,0,0,2,6,0,2,12,1,0,1,0,1,55,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
0,0,0,0,1,1,14,0,6,0,0,0,0,0,1,11,1
0,0,7,0,0,1,4,0,0,0,0,1,0,0,0,2,1
0,0,0,0,0,1,8,0,0,2,0,0,0,0,1,135,0
1,1,9999,1,1,1,10,0,0,4,0,0,0,1,1,214,0
0,0,0,0,0,2,18,1,13,0,1,0,0,0,0,9,1
0,0,0,0,0,2,8,0,2,4,0,0,1,0,0,57,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,38,1
2,0,0,0,0,1,7,0,3,1,1,0,0,1,0,34,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,3,1,0,2,0,1,0,0,0,3,1
0,0,9999,1,0,1,13,1,9,0,0,0,0,1,0,86,1
0,0,999,1,0,2,3,0,0,22,0,1,0,1,0,93,0
2,1,0,0,0,2,27,1,24,2,1,0,0,0,0,48,1
0,0,9999,1,1,0,0,0,0,0,0,0,0,1,0,138,0
1,0,100,0,0,1,31,3,10,1,0,0,0,0,0,192,0
0,0,200,1,0,1,5,1,0,0,0,1,1,0,0,18,1
0,0,0,0,0,2,18,1,13,0,1,0,0,0,0,9,1
0,0,0,1,0,1,5,0,5,0,0,0,0,0,0,8,0
0,0,0,0,0,1,1,0,0,17,0,0,0,0,0,135,0
0,0,0,0,0,1,2,0,0,12,0,0,0,0,0,49,0
0,0,10,1,0,1,6,0,3,53,0,0,0,1,0,99,0
0,0,0,0,0,1,4,0,4,0,0,0,0,0,0,12,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,1,0,1,21,1,0,3,0,0,0,0,0,8,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
1,1,9999,1,0,0,1,0,0,3,0,0,0,0,1,88,0
1,0,0,0,0,0,0,0,0,13,0,0,1,1,0,144,0
0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,72,0
0,0,9999,1,1,1,4,0,0,0,0,0,0,1,1,359,0
0,0,0,1,0,1,12,1,8,0,0,0,0,0,1,29,1
1,0,0,0,0,1,6,0,4,0,0,0,0,1,0,105,0
0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,12,1
1,0,9999,1,0,1,6,0,1,2,0,0,0,1,1,86,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,9999,1,1,0,0,0,0,1,0,0,0,0,0,125,0
1,0,99,1,0,2,4,0,2,34,0,0,0,1,0,334,0
1,0,0,0,0,1,4,0,2,2,0,0,0,0,1,341,0
1,1,10,0,0,0,0,0,0,36,0,0,0,1,1,132,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0
0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,317,1
0,0,0,0,0,2,32,1,28,1,1,1,0,0,1,30,1
0,0,0,1,0,1,4,0,2,2,0,0,0,0,0,61,0
0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,71,0
0,0,1000,1,1,1,11,0,1,44,0,0,1,1,0,716,0
0,0,9997,1,1,2,10,0,4,0,0,1,0,1,0,234,0
0,0,9999,1,1,3,15,0,5,6,0,0,1,1,1,614,0
0,0,0,0,0,2,4,0,0,10,0,0,0,0,0,60,1
4,0,0,0,0,2,4,0,1,15,0,1,0,1,0,103,0
0,0,2,0,1,3,13,0,6,4,0,0,0,1,0,90,0
0,0,0,0,0,2,12,0,4,10,0,0,0,0,0,61,0
0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,1
