label,request_count,iat_mean_ms,iat_cv,iat_bowley_skewness,iat_mad_ms
1,17,74994.1413,0.935294,0.495152,10813.3215
1,9,15411.733,1.21137,0.01393,6305.08
1,22,18586.7158,0.39937,0.199618,4988.209
1,20,62762.9623,0.063924,0.400854,9.959
1,20,62907.2156,0.930542,0.391926,5806.202
1,11,46097.5986,0.119833,-0.057976,1814.9455
1,11,48340.9272,0.153806,0.297782,4942.693
1,20,60974.8062,0.023121,0.884702,9.09
1,20,61587.8423,0.045607,-0.302451,9.7
1,19,66604.4696,0.903015,0.6115,7868.6415
1,12,109029.4408,0.910068,0.988609,17749.187
1,19,64076.4837,0.078784,0.989144,37.4475
1,20,62623.1213,0.917616,0.347192,3199.33
1,8,35708.7186,0.119165,0.999839,0.756
1,11,111753.3474,0.035823,0.308812,2438.0955
1,12,105747.8275,0.890758,0.346397,20922.047
1,10,120760.8406,0.03421,-0.274827,3023.477
1,8,152093.4867,0.768623,0.445148,113760.763
1,20,62119.2185,0.057263,-0.656941,8.872
1,20,54996.0648,1.397048,0.696558,6103.424
1,18,68247.2797,0.693574,0.39373,6160.29
1,8,134063.8527,0.837995,0.99502,5129.406
1,25,49769.8477,0.33052,0.497932,4029.0605
1,7,164411.146,1.416781,0.991148,5.4425
1,14,30403.3576,2.637767,0.324966,3126.638
1,9,149970.1302,0.754988,-0.000646,113353.495
1,9,13927.6561,1.014208,0.010653,6181.438
1,8,171421.8219,0.994901,0.726263,37800.244
1,13,99871.2163,1.026145,0.820719,20509.019
1,11,109997.1993,0.130452,-0.395608,3799.2155
1,18,55594.7978,1.539774,0.812782,19828.513
1,9,13856.2346,0.774181,0.028654,9968.217
1,9,149992.2474,0.780014,0.756939,35648.6395
1,11,111291.2979,0.071707,-0.124165,3000.5475
1,9,149998.86,0.755644,-0.000174,112968.1645
1,8,100513.0826,0.639972,-0.805579,50536.681
1,20,62597.3545,0.046644,0.993729,10.027
1,11,15641.6929,0.297818,-0.218061,4667.3925
1,10,38438.9969,2.481717,0.354598,2889.769
1,14,30399.5636,2.41019,0.800758,3408.327
1,11,113733.1307,0.036391,0.159748,3403.735
1,17,62553.9583,0.63945,0.576407,3474.752
1,12,108177.4563,0.196777,0.541948,3536.365
1,20,62525.8823,0.057574,-0.64062,9.739
1,7,5572.2043,0.888727,0.584903,1611.1385
1,19,66615.8757,0.869919,0.790594,3571.5285
1,16,75972.6663,2.927593,-0.300876,2366.775
1,20,60642.4023,0.000113,0.586726,6.063
1,38,30035.7571,1.928863,-0.706873,7801.696
1,18,66986.2752,0.552169,-0.20928,8285.296
1,11,116701.4561,0.026484,0.139839,2568.678
1,20,61345.4228,0.015837,0.883212,12.307
1,8,89573.1991,1.762799,0.649616,5848.943
1,14,92225.9162,1.013143,0.916578,4568.606
1,6,60629.7608,6.1e-05,0.487805,0.305
1,10,133206.8941,0.645367,0.595888,49886.487
1,20,62915.6138,0.049219,0.999143,11.269
1,10,121848.3493,0.040366,0.310877,2734.376
1,5,63261.2865,0.441131,0.47461,7542.992
1,8,134071.1563,0.846026,0.974211,4397.93
1,6,144846.9626,0.355043,0.188219,5414.204
1,9,149753.1792,1.13191,0.659364,41142.4085
1,11,116338.0716,0.021447,0.28168,1756.5295
1,11,116669.1298,0.043629,0.144462,3638.745
1,12,102126.0535,0.975716,0.849492,23974.413
1,7,4358.6192,0.768728,0.524516,1567.9955
1,8,134434.8694,0.833355,0.964444,6060.869
1,12,90051.7759,0.802164,0.782216,11743.544
1,19,64140.4042,0.070827,0.264898,1176.501
1,14,29184.6565,2.268827,-0.222487,6405.306
1,10,120324.3261,0.022345,0.482243,1518.608
1,20,61588.3258,0.041516,-0.054019,10.169
1,10,129740.6276,0.302913,0.43034,1581.793
1,12,76292.6092,1.28788,-0.816247,49860.711
1,9,12578.1731,0.772042,0.140082,9329.6915
1,16,79553.8125,1.397699,-0.759741,51075.185
1,10,92272.6766,1.260417,0.924979,2403.968
1,6,180014.581,0.589049,-0.791158,62932.423
1,15,60995.3616,1.492935,0.29005,2707.515
1,8,133830.6951,0.850421,0.98699,2869.42
1,19,42243.0304,1.903612,-0.767692,9049.5945
1,15,54752.2739,0.317938,0.165514,12811.8395
1,8,134090.416,0.836655,0.985579,3093.84
1,11,93422.0735,2.393146,-0.691612,4203.7795
1,14,29205.5221,2.725709,0.223057,3447.498
1,8,166646.1091,0.691093,-0.992374,1931.587
1,19,65030.8808,0.662222,0.681871,3876.4435
1,13,95805.8922,0.890324,0.936822,5625.32
1,37,31007.1455,0.131395,0.408016,13.655
1,38,31479.2516,0.630511,0.219345,7210.632
1,20,62977.9873,0.052711,0.896361,158.541
1,11,100476.9957,1.40075,0.436908,4486.48
1,5,15653.764,0.677034,-0.023453,9228.992
1,18,17939.6249,0.32206,-0.698294,1983.931
1,8,133531.309,0.842189,0.977794,5018.834
1,7,9055.5542,0.857886,0.365386,5067.3345
1,10,130845.563,0.870707,0.832185,54339.179
1,10,122211.5422,0.035852,-0.523932,2789.84
1,20,60642.2634,7.9e-05,0.730288,2.895
1,10,123003.3203,0.014895,0.156424,1283.542
1,19,11044.7626,4.012868,0.752474,1.183
1,20,62153.9557,0.057876,-0.123991,1.19
1,11,113171.6909,0.049924,0.537151,4679.636
1,28,33891.3661,1.632958,0.22197,13996.76
1,14,67108.1532,0.235392,-0.041134,3421.362
1,21,57722.2705,0.63152,0.376851,4551.669
1,9,114282.8266,1.058515,-0.013793,20807.758
1,18,70199.2089,0.415485,-0.188093,1754.788
1,11,114544.8613,0.060786,-0.094272,4305.9265
1,20,56976.4412,0.585388,0.39787,4509.351
1,10,30252.7441,0.002497,0.325256,13.463
1,20,60634.4349,0.000122,-0.684296,5.879
1,11,119291.5547,0.021373,-0.465876,1554.115
1,6,132337.9054,0.449431,-0.961111,63010.36
1,7,18638.8897,0.54168,0.239061,9568.498
1,9,137745.7041,0.795925,0.817885,30397.2355
1,5,45988.5057,0.137949,0.82229,388.638
1,5,51380.0347,0.307694,0.464428,4466.4715
1,12,84819.993,1.109275,0.77987,8787.68
1,24,51572.0956,0.266648,0.126092,10141.687
